Model,Test Loss,Accuracy,Accuracy
model_0.pth,0.440073518,87.39,0.8739
model_1.pth,0.391943625,88.54,0.8854
model_2.pth,0.348023898,89.9,0.899
model_3.pth,0.300858658,91.33,0.9133
model_4.pth,0.258423194,92.55,0.9255
model_5.pth,0.221509165,93.39,0.9339
model_6.pth,0.202017463,93.89,0.9389
model_7.pth,0.180511926,94.56,0.9456
model_8.pth,0.165162074,94.89,0.9489
model_9.pth,0.154374041,95.31,0.9531
model_10.pth,0.140593156,95.69,0.9569
model_11.pth,0.13078386,95.97,0.9597
model_12.pth,0.121708645,96.19,0.9619
model_13.pth,0.114084483,96.45,0.9645
model_14.pth,0.105981603,96.66,0.9666
model_15.pth,0.100088166,96.89,0.9689
model_16.pth,0.094642125,97.11,0.9711
model_17.pth,0.091811967,97.17,0.9717
model_18.pth,0.089734086,97.02,0.9702
model_19.pth,0.085645187,97.27,0.9727
model_20.pth,0.081383716,97.42,0.9742
model_21.pth,0.076730503,97.57,0.9757
model_22.pth,0.07492984,97.74,0.9774
model_23.pth,0.071900447,97.84,0.9784
model_24.pth,0.070859457,97.82,0.9782
model_25.pth,0.06941343,97.82,0.9782
model_26.pth,0.068148098,97.9,0.979
model_27.pth,0.066465768,97.95,0.9795
model_28.pth,0.067389206,97.88,0.9788
model_29.pth,0.064764187,97.93,0.9793
model_30.pth,0.064188714,97.91,0.9791
model_31.pth,0.061669074,98.03,0.9803
model_32.pth,0.060364117,98.06,0.9806
model_33.pth,0.058694416,98.14,0.9814
model_34.pth,0.057711567,98.06,0.9806
model_35.pth,0.056550095,98.14,0.9814
model_36.pth,0.05594551,98.13,0.9813
model_37.pth,0.055095872,98.1,0.981
model_38.pth,0.054768503,98.17,0.9817
model_39.pth,0.052590256,98.32,0.9832
model_40.pth,0.052101456,98.34,0.9834
model_41.pth,0.052319967,98.36,0.9836
model_42.pth,0.052340099,98.36,0.9836
model_43.pth,0.052039497,98.39,0.9839
model_44.pth,0.05331975,98.28,0.9828
model_45.pth,0.052490695,98.22,0.9822
model_46.pth,0.051715524,98.31,0.9831
model_47.pth,0.04962764,98.42,0.9842
model_48.pth,0.049428934,98.46,0.9846
model_49.pth,0.048092889,98.36,0.9836
model_50.pth,0.049484776,98.35,0.9835
